BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot
2442570 0.497705111888414 2442570 0.497714011155137 -39065.1529460429
2442580 0.498492771445813 2442580 0.498501515648346 -41176.4684098028
2442590 0.499336780704322 2442590 0.499345369841793 -42581.070406526
2442600 0.50021400220093 2442600 0.500222436272822 -43289.4886518437
2442610 0.5010998365842 2442610 0.501108115590381 -43218.3654234095
2442620 0.501968618181728 2442620 0.501976742122461 -42410.4250771274
2442630 0.50279676479149 2442630 0.502804733667406 -40893.25606146
2442640 0.503560206882408 2442640 0.50356802069451 -38645.4854701202
2442650 0.504236662326194 2442650 0.50424432107583 -35787.6911389857
2442660 0.504807123958895 2442660 0.504814627647709 -32363.0120532203
2442670 0.505253554834269 2442670 0.505260903464185 -28431.7671719687
2442680 0.505562386560494 2442680 0.505569580133644 -24162.0064922289
2442690 0.505723919992095 2442690 0.505730958510764 -19616.6534697664
2442700 0.505731192968087 2442700 0.505738076434666 -14938.0006435602
2442710 0.505583469789703 2442710 0.505590198206596 -10301.6060897408
2442720 0.505283795234642 2442720 0.505290368604205 -5786.13511159396
2442730 0.504839381413963 2442730 0.50484579973844 -1583.64422419713
2442740 0.504263691121692 2442740 0.504269954403118 2171.23909613132
2442750 0.503572929883933 2442750 0.503579038124093 5402.75697768461
2442760 0.502787685802293 2442760 0.502793639002651 7933.84736903471
2442770 0.501932671839621 2442770 0.501938470001259 9716.16150218882
2442780 0.501044873099711 2442780 0.501050516223139 10704.897617401
2442790 0.5001294938025 2442790 0.500134981888144 10807.4362647626
2442800 0.499226841621576 2442800 0.499232174669239 10083.0823556781
2442810 0.498363920561486 2442810 0.498369098570551 8535.03536697423
2442820 0.49756807444107 2442820 0.497573097410498 6190.81747021546
2442830 0.496863166145734 2442830 0.496868034074116 3196.04764591353
2442840 0.496269610118474 2442840 0.496274323004083 -403.844321107499
2442850 0.495805550012822 2442850 0.495810107853649 -4477.39657985462
2442860 0.495483217788354 2442860 0.495487620582202 -8849.19869324166
2442870 0.495311097053817 2442870 0.495315344798356 -13451.0196312862
2442880 0.49529368510335 2442880 0.495297777796183 -18097.9835133715
2442890 0.495429242742601 2442890 0.495433180381355 -22646.3410036284
2442900 0.49571318562993 2442900 0.495716968212305 -27020.800020705
2442910 0.496136365535078 2442910 0.496139993058914 -31038.4746406306
2442920 0.496684864962763 2442920 0.496688337426118 -34625.1185355648
