JD RV eRV RVbary
2457327.719965 -1.17 1.23 -10023.164
2457327.721146 -1.35 1.36 -10026.374
2457395.571424 -1.83 1.33 -27722.71
2457395.572836 -4.01 1.28 -27725.536
2457395.574213 -3.88 1.31 -27728.275
2457620.81662 -1 0.93 20450.917
2457620.820405 -1.34 0.91 20440.733
2457626.873449 3.35 1.91 18423.12
2457626.874479 -2.8 1.46 18420.307
2457626.875498 1.74 1.6 18417.53
2457626.876597 0.63 1.23 18414.535
2457626.877674 0.58 1.16 18411.608
2457626.878866 1.2 1.22 18408.372
2458355.904873 -1.99 1.06 18802.209
2458355.905694 0.1 1.02 18800.077
2458355.906505 -1.42 1 18797.979
2458355.907303 -2.47 1.13 18795.915
2458355.908113 -1.62 1.07 18793.825
2458355.908924 -2 1.02 18791.739
2458355.909734 -2.85 1 18789.657
2458355.910544 -2.49 1.03 18787.579
2458355.911354 0.79 1 18785.505
2458675.944896 -0.09 1.14 26620.457
2458675.94669 -0.34 1.23 26616.05
2458675.948449 -1.06 1.19 26611.722
2458675.950093 -0.41 1.23 26607.674
2458675.951597 -0.53 1.11 26603.964
2458679.94169 -0.96 1.09 26510.503
2458679.9425 0.57 1.09 26508.481
2458679.943299 0.94 1.22 26506.486
2458679.944109 0.92 1.16 26504.462
2458679.944931 -1.82 1.26 26502.408
2458680.941354 0.61 1.14 26464.496
2458680.942153 -0.48 1.12 26462.495
2458680.942951 -0.34 1.15 26460.493
2458680.94375 2.37 1.09 26458.49
2458680.94456 0.21 1.05 26456.458
2458704.885185 2.53 1.05 23307.548
2458704.886111 4.34 1.07 23305.062
2458704.887002 3.78 1.13 23302.668
2458704.887894 3.15 1.05 23300.275
2458704.888785 2.33 1.18 23297.881
2458704.889687 3.74 1.2 23295.457
2458704.89059 1.88 1.1 23293.033
2458704.891516 2.3 1.04 23290.547
2458704.892431 3.77 1.1 23288.092
2458704.893345 2.62 1.1 23285.638
2458707.837222 -1.05 1.03 22736.446
2458707.838194 1.93 1.07 22733.898
2458707.83912 1.7 1.13 22731.468
2458707.840012 1.71 1.03 22729.125
2458707.840949 0.08 0.99 22726.658
2458707.841898 1.54 1.02 22724.157
2458707.842836 0.41 1.08 22721.683
2458707.843785 1.87 1.08 22719.176
2458707.844757 0.54 1.05 22716.604
2458707.845741 0.48 1.13 22713.999
2458707.846701 2.86 1.07 22711.451
2458710.900937 0.39 1.01 21811.657
2458710.901991 0.08 1.02 21808.839
2458710.90294 1.78 1.09 21806.302
2458710.903854 0.53 1.04 21803.861
2458710.904745 0.84 1.06 21801.484
2458710.90566 0.32 1.06 21799.048
2458737.786308 -0.28 1.3 12995.722
2458737.787523 -0.66 1.29 12992.246
2458737.788727 0.48 1.23 12988.802
2458737.789907 0.94 1.28 12985.423
2458737.791111 -0.47 1.32 12981.976
2458737.792303 -0.57 1.24 12978.562
2458737.793495 -0.81 1.29 12975.147
