 an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1907.70   -0.117690    0.012937   -0.015012    0.013832  -0.0000971   0.0000000    0.218967    0.000000    0.017519    0.000000
   1907.75   -0.156785    0.015292    0.021297    0.013676  -0.0000023   0.0000000    0.220396    0.000000    0.017841    0.000000
   1907.80   -0.189052    0.018047    0.063219    0.014961   0.0000771   0.0000000    0.221393    0.000000    0.019018    0.000000
   1907.85   -0.160435    0.019455    0.122442    0.020634   0.0000029   0.0000000    0.223427    0.000000    0.019649    0.000000
   1907.90   -0.174324    0.021244    0.161414    0.016950  -0.0002248   0.0000000    0.225313    0.000000    0.020531    0.000000
   1907.95   -0.175630    0.024551    0.206585    0.024016   0.0002223   0.0000000    0.225775    0.000000    0.021195    0.000000
   1908.00   -0.097269    0.020957    0.248713    0.019215  -0.0001967   0.0000000    0.225810    0.000000    0.021805    0.000000
   1908.05   -0.103376    0.023339    0.239391    0.021698  -0.0001069   0.0000000    0.227382    0.000000    0.021303    0.000000
   1908.10   -0.059088    0.021137    0.273840    0.020823   0.0002584   0.0000000    0.227207    0.000000    0.021140    0.000000
   1908.15    0.009648    0.021137    0.247620    0.016428  -0.0001798   0.0000000    0.227729    0.000000    0.020079    0.000000
   1908.20    0.090522    0.026769    0.235731    0.018504   0.0001536   0.0000000    0.229298    0.000000    0.018995    0.000000
   1908.25    0.080676    0.018206    0.218224    0.021378   0.0000932   0.0000000    0.229311    0.000000    0.018199    0.000000
   1908.30    0.155943    0.018814    0.162078    0.016703  -0.0000823   0.0000000    0.229464    0.000000    0.017668    0.000000
   1908.35    0.152984    0.016730    0.112627    0.018835  -0.0000533   0.0000000    0.230066    0.000000    0.017404    0.000000
   1908.40    0.173953    0.016317    0.039626    0.016366   0.0001257   0.0000000    0.228840    0.000000    0.017742    0.000000
   1908.45    0.193512    0.015337    0.020849    0.015667  -0.0000787   0.0000000    0.225866    0.000000    0.017983    0.000000
   1908.50    0.183398    0.014037   -0.054462    0.015262  -0.0000477   0.0000000    0.224148    0.000000    0.017758    0.000000
   1908.55    0.151217    0.015404   -0.109371    0.015734   0.0002514   0.0000000    0.221011    0.000000    0.017950    0.000000
   1908.60    0.107925    0.014258   -0.142472    0.017730  -0.0001893   0.0000000    0.218005    0.000000    0.018017    0.000000
   1908.65    0.055395    0.013924   -0.182291    0.015622   0.0000467   0.0000000    0.218110    0.000000    0.017921    0.000000
   1908.70   -0.006810    0.014573   -0.171706    0.013941   0.0001516   0.0000000    0.217375    0.000000    0.018515    0.000000
   1908.75   -0.062121    0.013915   -0.178777    0.014411  -0.0001438   0.0000000    0.218672    0.000000    0.018822    0.000000
   1908.80   -0.121197    0.013584   -0.143242    0.015109   0.0001202   0.0000000    0.220862    0.000000    0.019775    0.000000
   1908.85   -0.198827    0.020561   -0.118804    0.017930   0.0001064   0.0000000    0.221928    0.000000    0.020876    0.000000
   1908.90   -0.257273    0.018705   -0.059719    0.017968  -0.0000479   0.0000000    0.223779    0.000000    0.021433    0.000000
   1908.95   -0.280240    0.025862   -0.002847    0.018206   0.0000230   0.0000000    0.225755    0.000000    0.022009    0.000000
   1909.00   -0.308488    0.026382    0.087008    0.022228   0.0001718   0.0000000    0.225750    0.000000    0.022357    0.000000
   1909.05   -0.341789    0.019581    0.134833    0.020694  -0.0002121   0.0000000    0.225465    0.000000    0.022472    0.000000
   1909.10   -0.251189    0.031117    0.177414    0.021258   0.0000182   0.0000000    0.226839    0.000000    0.021632    0.000000
   1909.15   -0.246529    0.026716    0.259111    0.023839   0.0001843   0.0000000    0.226768    0.000000    0.020912    0.000000
   1909.20   -0.210403    0.025754    0.316782    0.021170  -0.0002617   0.0000000    0.227612    0.000000    0.019739    0.000000
   1909.25   -0.111934    0.020247    0.334538    0.014933   0.0000206   0.0000000    0.229254    0.000000    0.019067    0.000000
   1909.30   -0.048955    0.016905    0.365480    0.016358  -0.0001075   0.0000000    0.228697    0.000000    0.018541    0.000000
   1909.35    0.031680    0.016584    0.354419    0.015837  -0.0000930   0.0000000    0.228695    0.000000    0.018113    0.000000
   1909.40    0.150610    0.017710    0.322935    0.018761   0.0001130   0.0000000    0.227936    0.000000    0.018012    0.000000
