MJD RV eRV
57532.29979741 -1153.00106590398 0.0350348020137036
57532.30029235 -1152.4917833865 0.0365500558531624
57532.30078728 -1151.52886236925 0.0347118119555421
57532.3012806 -1154.62307919078 0.0265822394157968
57532.30177519 -1153.54242492958 0.0414467261870804
57532.30227139 -1152.29746956668 0.0327494848312108
57534.27604651 -1132.15008783687 0.0612522441419777
57534.2775121 -1126.40892987617 0.0454456540710891
57534.2798723 -1137.05522148671 0.0505324617043262
57534.28082016 -1128.38179230281 0.0770804091226232
57534.28129449 -1129.14027313989 0.0557243660289603
57539.21483426 -1160.36121031305 0.0273074175722447
57539.21530362 -1159.82128161429 0.025014979719802
57539.21578096 -1160.40472693526 0.0192105761728932
57539.21662464 -1161.36134351167 0.0250240759519976
57539.21709747 -1160.86149681786 0.0271779745656609
57539.2183083 -1162.55947742121 0.0233362602173766
57539.21878089 -1162.24383883571 0.0212619411822675
57539.21925036 -1161.74407974699 0.0218733382741611
57539.21972296 -1161.77213338201 0.0188331281224103
57539.22019532 -1161.37090985568 0.0184342041954397
57539.2206656 -1160.28401444566 0.0173582167688328
57539.22113808 -1160.77019404768 0.0193226685468775
57539.22161172 -1161.40504501645 0.0220646908713202
57539.22208571 -1160.91151820052 0.0205911133952509
57539.222559 -1162.34506169816 0.0189972247617207
57539.22303229 -1161.73220347025 0.0174047599050933
57539.22350454 -1161.48445621324 0.0197009081395269
57539.2865692 -1158.16169812827 0.0245313464660839
57539.28704087 -1155.75979609829 0.0503958115381307
57539.28752631 -1154.53051110009 0.0272450088113045
57539.28799752 -1157.96568583541 0.0247843940423421
57539.28846919 -1154.45863994097 0.0306697582834041
57539.28894364 -1158.48533384003 0.0476418667552946
57539.28941577 -1157.88256723834 0.0289477271272464
57539.28988686 -1156.75734364358 0.0258656103473643
57539.2903605 -1158.79843859953 0.0292288434515634
57539.29083437 -1158.49509676842 0.0257597494607392
57539.29130835 -1158.26712531193 0.0303801162582221
57539.29177967 -1158.37092504884 0.0229515576555041
57536.22723563 -1160.41983228126 0.026913282439628
57541.12687696 -1157.93208288195 0.0325437601810446
57541.12734979 -1158.4944447324 0.0289187967237458
57541.12782389 -1152.91345087037 0.0292329207231073
57541.12829591 -1155.76417064361 0.0323717314166114
57541.12876712 -1158.39516048661 0.0266311269122486
57541.12923867 -1156.72982151745 0.0338575949272504
57541.12971115 -1154.53733774353 0.028872159513918
57541.1301827 -1159.03148697371 0.0256258787563852
57541.13065831 -1154.22903689041 0.0248995569282032
57541.13108172 -1146.99750583933 0.0327988162183493
57541.13160396 -1146.72197687293 0.029661885430271
57536.36851369 -1162.05937592128 0.0255304620984879
57541.26815178 -1161.73584336333 0.0303781425435536
57541.26862611 -1161.70336783312 0.0252407977001009
57541.26909789 -1161.56459487002 0.0237136768590288
57541.26957257 -1159.88056084174 0.0270887351124271
57541.27005362 -1160.69819438753 0.0282308726235728
57541.27052344 -1160.67639553449 0.0277349069260016
57541.27099569 -1160.73396919285 0.0257369723350431
57541.27146921 -1158.67785447641 0.0305736935224028
57541.27194261 -1158.36733140891 0.0271593762599296
57541.27241556 -1158.18906513623 0.0232833439795616
57541.27288456 -1159.46593652663 0.0233388701121155
57572.3059103 -1176.87479987013 0.0242076545460679
57577.10609003 -1175.0218655166 0.0261092618716806
57577.10668127 -1176.49172451821 0.0234334412194232
57577.10727169 -1177.35076908488 0.0221125097164782
57577.10786235 -1176.04893258703 0.031914671830097
57577.10845104 -1173.36479493791 0.0240170242654841
57577.10904159 -1169.28545013125 0.0310683165108841
57577.10963167 -1175.52465316464 0.0268632034521166
57577.11022221 -1175.72612217501 0.0313187216988089
57577.11081379 -1174.79197760287 0.02488865951506
57571.98270795 -1174.58550891375 0.0290491186501945
57577.18286092 -1177.36500447551 0.0234980226468925
57577.18345308 -1178.34503036924 0.023823828505941
57577.18404212 -1178.86478155209 0.0302354049282611
57577.18463185 -1176.80807614469 0.0267255382068088
57577.18522193 -1178.99676477866 0.0243348391858703
57577.18581236 -1179.54643775746 0.0271029289345752
57577.18641401 -1178.69622844367 0.0266794678718054
57577.18700467 -1174.51843461304 0.0262465130382066
57577.18759475 -1177.47602613467 0.0278744251341537
57573.285991 -1183.13623430255 0.0249131229642769
57579.08609177 -1183.83091806253 0.0235549118655654
57579.08668011 -1184.31355906739 0.0272808760001019
57579.08727042 -1187.03612534973 0.0226610194610194
57576.58905293 -1177.18801503634 0.0338095729929301
57571.34190776 -1181.04339547389 0.0235446608981871
57576.59186605 -1181.73025482187 0.0256415176352835
57576.59239791 -1184.80794515988 0.0290897890349675
57576.59293035 -1185.19266552128 0.0270097984670586
57576.59346348 -1177.8143160817 0.0314248253398874
57576.59394592 -1180.2738823284 0.0456006242213457
57576.59452755 -1182.1070881759 0.0324582575444755
57576.59506137 -1182.24740269015 0.0275664070825703
57576.59559219 -1182.66407171343 0.0301958191424802
57576.59612579 -1184.87901824416 0.0265248141911002
57570.82524744 -1168.99926458557 0.0302689652336039
57576.67511768 -1172.89966734537 0.0402891791352672
57576.67565047 -1165.49028397118 0.0457521117025591
57576.67618499 -1160.72054595374 0.0722911905088139
57576.67671476 -1176.48796395268 0.0551712548216678
57576.67724755 -1178.28678067136 0.0354973135789946
57576.67778056 -1177.17074174454 0.03264324721967
57576.67831207 -1177.83902009994 0.0463137060343636
57576.67884625 -1181.2832704215 0.0381124101248151
57576.67937741 -1177.36211062135 0.03686846987945
57576.67990928 -1177.54675035479 0.0383505951894682
57585.08317544 -1180.18588263693 0.0306943392064337
57585.08376355 -1182.01353656451 0.0324313329526312
57585.08430513 -1181.1320614752 0.029934043384917
57585.08494405 -1178.67360988964 0.0290824669528688
57585.08553541 -1180.682403278 0.0271053287390344
57585.08612479 -1178.06462927189 0.0323014901369272
57585.0867158 -1181.21806047654 0.0257218692908328
57585.0873053 -1180.67404994377 0.0365565442450782
57585.08848569 -1180.73460298801 0.0305413756011931
57582.65981887 -1183.48739164708 0.0342772488574286
57582.66034968 -1182.941326657 0.0292807437402603
57582.66083166 -1182.51462015365 0.0312280591832323
57582.6614141 -1183.48743323218 0.0343153192936245
57582.66194642 -1182.94023814941 0.029255744346437
57582.66247967 -1180.64066836843 0.0302171464076888
57582.66301141 -1179.05330995299 0.0413097929504157
57582.66354442 -1180.0536794623 0.0323548657780417
57582.66407721 -1181.98180575252 0.0319290500977797
57582.66460849 -1180.68718393964 0.0388608415920936
57580.10506184 -1164.79372880416 0.0396043348727158
57583.55521065 -1168.8237840787 0.0352380720739158
57583.5557432 -1162.36248058974 0.0572317883315891
57583.55627506 -1156.99573833051 0.0441935284409762
57583.55680923 -1159.01750584785 0.0455656887602274
57583.55787225 -1169.18357244235 0.0391427764322894
57578.57782171 -1183.48167153285 0.026698374225016
57583.67778028 -1182.0540189263 0.0281984007289311
57583.67831215 -1182.56693426686 0.0195416595376581
57583.67884447 -1183.15171504573 0.0270420146290851
57583.6793886 -1178.94369660137 0.0311747775768928
57583.67987092 -1174.75051088513 0.0456175920386283
57583.68040498 -1170.87964602657 0.0645032511928764
57576.18183556 -1174.2573175057 0.0402473401644866
57583.68146094 -1175.54322580602 0.0572168300568759
57583.68198921 -1178.1303922472 0.0233167922377056
57585.71337536 -1185.26950401137 0.0632216565187785
57590.01311638 -1181.21760893716 0.116409609691512
