BJDtdb1 BJDtdb2 BJDtcb1 BJDtcb2 RvTot RvBT RvGO RvgsO RvgT RvlO RvLocal RvlT RvRemote RvSB RvSG RvSO RvsT RvST RvTot RvTropo
2455431 0.854275614573659 2455431 0.854466133185913 -36242.4477098984 0 -4.6471514875199 -4.60045430832331 0 -0.000229229169097563 -19571.8187236278 0 -16671.7173920457 -16674.0247448172 19582.3442233072 19577.6970718197 2.30748110318373 -16674.0247448172 -36242.4477098984 0.0000017656440251749
2455431 0.855695707398555 2455431 0.855886226032827 -36238.5131587254 0 -8.15073570477371 -4.60017179671104 0 -0.000229151867645397 -19567.8839550793 0 -16671.7173905813 -16674.0247433791 19581.9122441056 19573.7615084008 2.30748110318373 -16674.0247433791 -36238.5131587254 0.00000309772946440048
2455431 0.85673577529901 2455431 0.856926293949409 -36235.6319078982 0 -10.7163428640713 -4.59996397360701 0 -0.000229095458147687 -19565.0025450231 0 -16671.7173895495 -16674.0247423259 19581.5958580993 19570.8795152352 2.30748110318373 -16674.0247423259 -36235.6319078982 0.00000407405337156809
2455435 0.815546198339487 2455435 0.815736778372025 -35064.5668990379 0 64.2993108085443 -4.61254672395722 0 -0.000210116230428805 -18393.8764491176 0 -16671.7133490143 -16674.0207017907 18335.3183653079 18399.6176761164 2.30748110318373 -16674.0207017907 -35064.5668990379 -0.000024983314686466
2455435 0.816546259407617 2455435 0.81673683945566 -35061.8067144549 0 61.8638812640399 -4.61238516512523 0 -0.000210058081903109 -18391.1161120954 0 -16671.7133479493 -16674.0207007437 18334.9929584673 18396.8568397313 2.30748110318373 -16674.0207007437 -35061.8067144549 -0.0000239954606587063
2455435 0.817806337001619 2455435 0.817996917069201 -35058.3253900913 0 58.7917539809206 -4.61218000471311 0 -0.000209984950397718 -18387.6345954189 0 -16671.7133466512 -16674.0206994244 18334.5829380423 18393.3746920232 2.30748110318373 -16674.0206994244 -35058.3253900913 -0.0000227564287772175
2455435 0.81876639575622 2455435 0.818956975838688 -35055.6704522006 0 56.4485893064972 -4.61202257305359 0 -0.000209929335008199 -18384.9795109138 0 -16671.7133456194 -16674.0206984192 18334.2705359624 18390.7191252689 2.30748110318373 -16674.0206984192 -35055.6704522006 -0.000021816446165251
2455435 0.82078651966836 2455435 0.82097709978215 -35050.0773664494 0 51.5115385762889 -4.61168833865085 0 -0.00020981261271181 -18379.3861162237 0 -16671.7133435225 -16674.020696304 18333.6131737722 18385.1247123485 2.30748110318373 -16674.020696304 -35050.0773664494 -0.0000198492514296229
2455435 0.821736577707209 2455435 0.821927157835729 -35047.4440164665 0 49.1867253774837 -4.61152964221267 0 -0.000209757863702196 -18376.752620758 0 -16671.713342524 -16674.0206953092 18333.3040108384 18382.4907362159 2.30748110318373 -16674.0206953092 -35047.4440164665 -0.0000189287810686977
2455436 0.850388903166605 2455436 0.850579499244584 -34632.8248173289 0 -27.9469507077182 -4.60777072003507 0 -0.000202907527332431 -17962.1114356734 0 -16671.7122698586 -16674.0196226554 17995.7425081085 17967.7955574008 2.30748110318373 -16674.0196226554 -34632.8248173289 0.0000106670903374014
2455436 0.851378962584553 2455436 0.851569558677883 -34630.0616902383 0 -30.38313852477 -4.60757893964983 0 -0.000202854719506861 -17959.3481559772 0 -16671.7122688268 -16674.0196216095 17995.4148942476 17965.0317557228 2.30748110318373 -16674.0196216095 -34630.0616902383 0.0000116066505088651
2455436 0.852649038573131 2455436 0.852839634686154 -34626.5188102956 0 -33.5066047323338 -4.60733170870545 0 -0.000202787212269371 -17955.8050803267 0 -16671.7122674954 -16674.0196202679 17994.9946143436 17961.4880096112 2.30748110318373 -16674.0196202679 -34626.5188102956 0.0000128148289441404
