bbat sat ut1 clkchain clock0 clock1 clock2 clock3 clock4 bat Ttt tt tt2tb roemer shapiro tropo shapiroJ shapiroS shapiroV shapiroU shapiroN posTel1 posTel2 posTel3 tt2tb telSSB1 telSSB2 telSSB3 geoSSB1 geoSSB2 geoSSB3 velPulsar1 velPulsar2 velPulsar3 zenith1 zenith2 zenith3 posPulsar1 posPulsar2 posPulsar3 elevation freq
42039.991876180870126 42039.989999999999998 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42039.991876180870126 42039.990511388888887 44.183999999999997499 -0.00032157625247362204516 117.91834676645369484 -1.9692117164710890933e-06 7.9885366573237677764e-09 -1.9568878483251896176e-08 -6.5220836880496727032e-09 1.6419988079611454661e-11 -2.7548729451217699904e-10 -1.3008266104622216394e-09 0.017511 0.005780 -0.010589 -0.00032157625247362204516 -21.57604235 450.94097080 195.55947604 -21.59355379000617603 450.93519119371853776 195.57006543396934717 0.000468 -0.000700 0.000398 1843.081171 608.298409 -1122.063913 0.864080 0.421839 -0.274623 74.213688869643988255 545000000
42040.001875297344849 42040 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42040.001875297344849 42040.000511388888889 44.183999999999997499 -0.00032125059477991241719 117.84200985776369919 -1.9679902195100220782e-06 7.9439188673440596793e-09 -1.9569243399927131575e-08 -6.5221131796069978377e-09 1.642324130081697025e-11 -2.7548754412213825885e-10 -1.3008306577020707392e-09 0.017113 0.006869 -0.010590 -0.00032125059477991241719 -21.66366570 450.93845672 195.55790877 -21.680778557387331063 450.93158768379691992 195.56849914893950881 0.000468 -0.000700 0.000398 1801.131019 722.959314 -1122.167306 0.864080 0.421839 -0.274623 75.398355692146679985 545000000
42040.011874412966066 42040.010000000000002 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42040.011874412966066 42040.01051138888889 44.183999999999997499 -0.00032091800314814586696 117.76559919954183897 -1.9667670247175569527e-06 7.9265099099514903782e-09 -1.9569608059902613387e-08 -6.5221426297641053675e-09 1.6426504521795466076e-11 -2.7548779343222566031e-10 -1.300834702435256733e-09 0.016646 0.007931 -0.010592 -0.00032091800314814586696 -21.75135622 450.93590131 195.55633524 -21.768002695726028861 450.92797011434794285 195.56692676688564347 0.000468 -0.000700 0.000398 1752.044821 834.751440 -1122.288538 0.864080 0.421839 -0.274623 75.890782692358271788 545000000
42049.990986292359914 42049.989999999999998 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42049.990986292359914 42049.990522962962963 45.183999999999997499 -2.9571155600568676505e-05 40.031688828052459428 -6.1966415174064545132e-07 7.9308290601845414636e-09 -1.9921982929201223449e-08 -6.555949790174770013e-09 2.0017232261253952991e-11 -2.7517328911797826026e-10 -1.3045116827254105167e-09 0.016263 0.008688 -0.010593 -2.9571155600568676505e-05 -108.01466647 440.35969283 190.96815758 -108.03092989039684824 440.3510043912879155 190.97875011779558463 0.000468 -0.000700 0.000398 1711.728962 914.449823 -1122.393899 0.864080 0.421839 -0.274623 75.766837250739641263 545000000
42050.000985378264051 42050 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42050.000985378264051 42050.000522962962965 45.183999999999997499 -2.9243524956780957537e-05 39.952710619079226717 -6.1821856383847882921e-07 7.960109317131408358e-09 -1.9922318745453143202e-08 -6.555988804294002767e-09 2.0021303539328048902e-11 -2.7517240804701946517e-10 -1.304514880622030619e-09 0.015684 0.009694 -0.010594 -2.9243524956780957537e-05 -108.10043010 440.34318919 190.96056561 -108.11611427455106593 440.33349568239765404 190.97115957953204202 0.000468 -0.000700 0.000398 1650.763478 1020.233256 -1122.544709 0.864080 0.421839 -0.274623 74.956375777953340389 545000000
42050.010984463345824 42050.010000000000002 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42050.010984463345824 42050.010522962962966 45.183999999999997499 -2.8908953683235161247e-05 39.873661351088763638 -6.1677106511719794882e-07 8.0168659111446343602e-09 -1.9922654328714158608e-08 -6.5560277694378020912e-09 2.0025384685142901508e-11 -2.7517152660990591491e-10 -1.3045180765354291612e-09 0.015043 0.010660 -0.010596 -2.8908953683235161247e-05 -108.18625246 440.32663346 190.95296758 -108.20129525041275542 440.31597333182082821 190.96356313341240707 0.000468 -0.000700 0.000398 1583.258619 1121.968274 -1122.711859 0.864080 0.421839 -0.274623 73.510859794896987296 545000000
42059.990070700718952 42059.989999999999998 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42059.990070700718952 42059.990522962962963 45.183999999999997499 0.00025859041795162562242 -39.075715528012132438 9.6521401934029762324e-07 8.0762104551163444324e-09 -2.0244342589515276472e-08 -6.5984434296465655685e-09 2.401175765470085583e-11 -2.7371895335727002998e-10 -1.3073189711536470375e-09 0.014537 0.011340 -0.010597 0.00025859041795162562242 -191.09277054 416.16421790 180.47783440 -191.10730707653820559 416.15287837286018657 180.48843127622726001 0.000468 -0.000700 0.000398 1529.975912 1193.474690 -1122.851038 0.864080 0.421839 -0.274623 72.140024282945816481 545000000
42060.000069784116228 42060 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42060.000069784116228 42060.000522962962965 45.183999999999997499 0.00025891432691241170021 -39.154910325550154937 9.6690950959438322832e-07 8.1830362270931738593e-09 -2.0244645388496197146e-08 -6.5984898270888932378e-09 2.4015767917507731204e-11 -2.7371692777120096033e-10 -1.307321260526332768e-09 0.013794 0.012231 -0.010599 0.00025891432691241170021 -191.17407869 416.13433111 180.46448678 -191.18787248781876542 416.12210049132562517 180.47508549935997735 0.000468 -0.000700 0.000398 1451.803040 1287.261204 -1123.044570 0.864080 0.421839 -0.274623 69.942650897019774447 545000000
42060.010068866743769 42060.010000000000002 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42060.010068866743769 42060.010522962962966 45.183999999999997499 0.00025924502343783193195 -39.234171635175599135 9.6860716574009818969e-07 8.3211495776469678513e-09 -2.0244947982576247989e-08 -6.5985361699917082833e-09 2.4019786162707054038e-11 -2.7371490181447365406e-10 -1.3073235484978773179e-09 0.012996 0.013073 -0.010601 0.00025924502343783193195 -191.25543565 416.10438288 180.45113343 -191.26843207107896205 416.09130970823213147 180.46173411937377296 0.000468 -0.000700 0.000398 1367.880282 1375.939687 -1123.252461 0.864080 0.421839 -0.274623 67.475408256298379683 545000000
42069.989168420569833 42069.989999999999998 0 10->TAI->TT(TAI) 13 32.183999999999997499 0 0 0 42069.989168420569833 42069.990522962962963 45.183999999999997499 0.00054246734424374368124 -117.03300243691980143 2.8173189408966277826e-06 8.4431915566100620618e-09 -2.0532372660166240305e-08 -6.6473886634124736084e-09 2.714034481082913333e-11 -2.711268729789307497e-10 -1.3091949018785201559e-09 0.012381 0.013656 -0.010602 0.00054246734424374368124 -268.33069164 379.10028473 164.40246582 -268.34307299232585819 379.08662881854496618 164.41306807120611211 0.000468 -0.000700 0.000398 1303.144358 1437.272165 -1123.417148 0.864080 0.421839 -0.274623 65.550289320966058426 545000000
